Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Flag - HSDir,Platform,Flag - Hibernating
savanna,DE,26901,95,176.9.17.112,static.112.17.9.176.clients.your-server.de,9001,9030,0,0,1,1,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
SavedMenRelay,DK,1220,48,85.191.217.105,85.191.217.105,9001,9030,0,0,1,0,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
scaledtornode,FR,26338,191,163.172.129.204,204-129-172-163.rev.cloud.scaleway.com,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
scaletor,FR,22461,300,212.47.229.2,tor3.terjan.net,9001,9030,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
ScarletNao,US,3428,176,158.101.168.225,158.101.168.225,443,None,0,0,1,0,0,1,1,1,0,0,Tor 0.4.2.6 on Linux,0
ScarletTitan,EG,234,588,41.215.242.42,host-41.215.242.42.citynethost.com,443,80,0,1,0,0,0,1,1,1,1,0,Tor 0.4.1.5 on Linux,0
scator,FR,8093,70,163.172.141.10,10-141-172-163.rev.cloud.scaleway.com,9001,9030,0,0,1,1,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
scattystorrelay,DE,498,340,87.79.95.151,static-87-79-95-151.netcologne.de,9001,9030,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
scenics1,SE,7964,368,85.228.27.24,c-181be455.01-222-6e6b7011.bbcust.telenor.se,7070,7030,0,0,1,0,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
SCggHJTyWbtzDA9YZi,AT,103,221,78.142.175.70,torero.30hd.org,443,None,0,1,0,0,0,1,1,1,0,0,Tor 0.2.9.16 on Linux,0
Schakalium,RU,4570,69,213.141.138.174,213.141.138.174,9001,9030,0,0,1,1,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
schimkus,MN,224,923,43.231.114.52,43.231.114.52,443,80,0,0,0,0,0,1,1,1,1,0,Tor 0.4.2.5 on Linux,0
schkorski,UA,4899,2373,91.203.146.126,91.203.146.126,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
schlafschaf,DE,1550,144,130.180.63.150,b2b-130-180-63-150.unitymedia.biz,9001,None,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
Schlagenheim,PL,3510,16,185.43.137.73,185.43.137.73,867,None,0,0,1,0,0,0,1,1,1,0,Tor 0.4.1.6 on Linux,0
